ID,店舗名,住所,優先度,検索クエリ1,検索クエリ2,食べログURL
386d585f-5bad-433f-b2f8-8085202709e6,"パンダレストラン","東京都渋谷区道玄坂2-6-16 井門ビル B1F",43,"パンダレストラン 食べログ site:tabelog.com","パンダレストラン tabelog",
ff64c19e-e7d9-440a-88f7-0c97c358a8fb,"400℃ Pizza Tokyo 神楽坂店","東京都新宿区神楽坂3-2-5 SHKビル1F",33,"400℃ Pizza Tokyo 神楽坂店 食べログ site:tabelog.com","400℃ Pizza Tokyo 神楽坂店 tabelog",
91cb5c9b-2ab8-4900-9df1-df63976a7120,"CozyStyleCOFFEE","東京都新宿区上落合３丁目１０−３",33,"CozyStyleCOFFEE 食べログ site:tabelog.com","CozyStyleCOFFEE tabelog",
8f923343-73a1-4a3a-8f7d-f36a6808876c,"L'Occitane Cafe Shibuya","東京都渋谷区道玄坂2-3-1",33,"L'Occitane Cafe Shibuya 食べログ site:tabelog.com","L'Occitane Cafe Shibuya tabelog",
76c1a5d1-7220-4673-9cf5-a0b94168f861,"じゃんがら ラーメン","東京都渋谷区神宮前4-30-3 東急プラザ表参道原宿 B1F",33,"じゃんがら ラーメン 食べログ site:tabelog.com","じゃんがら ラーメン tabelog",
74492771-bd13-41e7-a19e-49ad52e41b63,"ビストロ酒場 T4 KITCHEN 渋谷店","〒150-0041 東京都渋谷区神南1-12-16",33,"ビストロ酒場 T4 KITCHEN 渋谷店 食べログ site:tabelog.com","ビストロ酒場 T4 KITCHEN 渋谷店 tabelog",
97b42b86-68ae-4bc6-8840-526bcf4cf525,"フレッシュネスバーガー 渋谷センター街店","東京都渋谷区宇田川町25-5",33,"フレッシュネスバーガー 渋谷センター街店 食べログ site:tabelog.com","フレッシュネスバーガー 渋谷センター街店 tabelog",
88881729-e9ff-4fe4-a40c-6ee87f5b3618,"フレッシュネスバーガー 渋谷センター街店","東京都渋谷区宇田川町25-5",33,"フレッシュネスバーガー 渋谷センター街店 食べログ site:tabelog.com","フレッシュネスバーガー 渋谷センター街店 tabelog",
b87e1262-58b3-4cd1-ae94-6860d2051f8e,"フレッシュネスバーガー 渋谷センター街店","東京都渋谷区宇田川町25-5",33,"フレッシュネスバーガー 渋谷センター街店 食べログ site:tabelog.com","フレッシュネスバーガー 渋谷センター街店 tabelog",
06d638bf-bcbd-47d9-bd29-88cafa76cbc1,"フレッシュネスバーガー 渋谷センター街店","東京都渋谷区宇田川町25-5",33,"フレッシュネスバーガー 渋谷センター街店 食べログ site:tabelog.com","フレッシュネスバーガー 渋谷センター街店 tabelog",
405597a3-4699-4780-a029-2491de140147,"ブレッツカフェ クレープリー 表参道店","東京都渋谷区神宮前3-5-4",33,"ブレッツカフェ クレープリー 表参道店 食べログ site:tabelog.com","ブレッツカフェ クレープリー 表参道店 tabelog",
b7e3a6b0-d450-40f9-8921-6e937aeaf965,"二丁目食堂トレド","東京都新宿区神楽坂２丁目６",33,"二丁目食堂トレド 食べログ site:tabelog.com","二丁目食堂トレド tabelog",
b5634cc9-d94c-417d-9b45-0f381ddeebcc,"東京都庁第一庁舎32階職員食堂","東京都新宿区西新宿２丁目８−１",33,"東京都庁第一庁舎32階職員食堂 食べログ site:tabelog.com","東京都庁第一庁舎32階職員食堂 tabelog",
9dba22c4-45a4-4c46-b6e5-e7728a8b3117,"伊勢屋食堂","東京都新宿区大久保1-12-1 第2韓国広場市場内",30,"伊勢屋食堂 食べログ site:tabelog.com","伊勢屋食堂 tabelog",
44d8966c-c17c-4083-83fd-4df513c3d449,"わんこそば専門店","東京都渋谷区",28,"わんこそば専門店 食べログ site:tabelog.com","わんこそば専門店 tabelog",
ffc1ec1c-a6a8-45e3-8718-aa05463d8df6,"高級レストラン","東京都港区銀座",28,"高級レストラン 食べログ site:tabelog.com","高級レストラン tabelog",
19fdc05d-d9f1-43c7-96c4-1717811dc86d,"筋肉食堂","東京都中央区銀座",25,"筋肉食堂 食べログ site:tabelog.com","筋肉食堂 tabelog",
c214c0a2-00cd-48f9-9172-bf7b9e46580f,"400°C 神楽坂","東京都新宿区神楽坂3-2 Kagurazaka Terrace B1F",23,"400°C 神楽坂 食べログ site:tabelog.com","400°C 神楽坂 tabelog",
357c14e6-f3da-43a1-b1d3-37a44b723753,"Burger King 新宿東口店","東京都新宿区新宿3-26-13 新宿中村屋ビル1F",23,"Burger King 新宿東口店 食べログ site:tabelog.com","Burger King 新宿東口店 tabelog",
456ea422-8f89-4d9e-91f1-c78059e5ab1e,"Club Pilates 恵比寿ガーデンプレイス店","東京都渋谷区恵比寿4-20-4",23,"Club Pilates 恵比寿ガーデンプレイス店 食べログ site:tabelog.com","Club Pilates 恵比寿ガーデンプレイス店 tabelog",
8d8fc6b9-f030-40d1-9ba2-aa68ae2f3a8d,"Dr.HEAD 新宿店","東京都新宿区新宿3-35-8",23,"Dr.HEAD 新宿店 食べログ site:tabelog.com","Dr.HEAD 新宿店 tabelog",
15cf8dee-5aa1-4fad-8322-4810d1dcbc06,"Dr.HEAD 新宿本店","東京都新宿区西新宿7-7-33 新銘ビルB1",23,"Dr.HEAD 新宿本店 食べログ site:tabelog.com","Dr.HEAD 新宿本店 tabelog",
